epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,43.0921,0.57021,0.38109,0.52917,0.93627,0.84062,0.2,0.24907,0.20091,0.84062,0.2,0.25096,0.20896,1.48156,8.04079,2.92156,1.67007,0.00128855,0.00128855,0.00128855
32,44.1757,0.58798,0.39104,0.49505,0.92207,0.70306,0.6,0.54574,0.43659,0.70306,0.6,0.54574,0.51574,nan,nan,nan,nan,0.00131159,0.00131159,0.00131159
33,45.226,0.63405,0.44907,0.58084,0.93076,0.70306,0.6,0.54574,0.43659,0.70306,0.6,0.54574,0.51574,nan,nan,nan,nan,0.00133343,0.00133343,0.00133343
34,46.3077,0.58806,0.40376,0.54772,0.90995,0.94311,0.6,0.60042,0.49819,0.94311,0.6,0.60371,0.54405,1.05555,2.98235,1.87071,1.39965,0.00134066,0.00134066,0.00134066
35,47.429,0.54728,0.3684,0.52055,0.9263,0.32035,0.6,0.42238,0.33737,0.32035,0.6,0.42238,0.37094,0.89798,0.96162,1.99225,1.04392,0.00132068,0.00132068,0.00132068
36,48.5545,0.53856,0.4626,0.48686,0.92133,0.23289,1,0.24875,0.1941,0.23289,1,0.24875,0.22839,0.85904,0.51762,1.88999,0.98981,0.0013007,0.0013007,0.0013007
37,49.6238,0.48537,0.40494,0.46846,0.90532,0.23289,1,0.24875,0.1941,0.23289,1,0.24875,0.22839,0.85904,0.51762,1.88999,0.98981,0.00128072,0.00128072,0.00128072
38,50.6971,0.53755,0.32658,0.45089,0.87639,0.4777,0.6,0.4225,0.31119,0.4777,0.6,0.4225,0.38631,0.86324,0.31691,2.03559,0.98478,0.00126074,0.00126074,0.00126074
39,51.7627,0.58839,0.40145,0.48741,0.92097,0.74519,0.58846,0.63667,0.5102,0.74519,0.58846,0.63667,0.60037,1.08469,0.27865,1.50979,1.08077,0.00124076,0.00124076,0.00124076
40,52.8304,0.49652,0.34859,0.44643,0.89922,0.72817,0.6,0.71167,0.54225,0.72817,0.6,0.71167,0.65614,1.163,0.47783,1.09528,1.20178,0.00122078,0.00122078,0.00122078
41,53.8824,0.49397,0.40895,0.46135,0.88972,0.72817,0.6,0.71167,0.54225,0.72817,0.6,0.71167,0.65614,1.163,0.47783,1.09528,1.20178,0.0012008,0.0012008,0.0012008
42,54.9589,0.4252,0.32752,0.39508,0.85625,0.9471,0.6,0.795,0.57712,0.9471,0.6,0.795,0.6817,1.17214,0.85941,0.89943,1.11983,0.00118082,0.00118082,0.00118082
43,56.0231,0.44922,0.41266,0.41271,0.85726,1,0.97787,0.995,0.72257,1,0.97787,0.995,0.85536,0.87892,0.84255,0.90533,0.9416,0.00116084,0.00116084,0.00116084
44,57.093,0.4787,0.40952,0.42987,0.8844,1,0.94395,0.995,0.80902,1,0.94395,0.995,0.89543,0.62451,0.61901,1.0796,0.85749,0.00114086,0.00114086,0.00114086
45,58.1505,0.5139,0.33736,0.43555,0.86593,1,0.94395,0.995,0.80902,1,0.94395,0.995,0.89543,0.62451,0.61901,1.0796,0.85749,0.00112088,0.00112088,0.00112088
46,59.2156,0.4743,0.38601,0.41478,0.90192,0.95741,1,0.995,0.83574,0.95741,1,0.995,0.91536,0.5934,0.40444,0.92978,0.81016,0.0011009,0.0011009,0.0011009
47,60.2883,0.42301,0.5103,0.40996,0.87381,0.81044,0.86267,0.96167,0.68337,0.81044,0.86267,0.96167,0.83257,0.89985,0.46064,1.26637,0.96341,0.00108092,0.00108092,0.00108092
48,61.36,0.46519,0.33372,0.42197,0.88439,0.80246,1,0.96167,0.74847,0.80246,1,0.96167,0.90851,0.78301,0.52316,0.97318,0.85421,0.00106094,0.00106094,0.00106094
49,62.4357,0.46118,0.29829,0.42724,0.8699,0.80246,1,0.96167,0.74847,0.80246,1,0.96167,0.90851,0.78301,0.52316,0.97318,0.85421,0.00104096,0.00104096,0.00104096
50,63.5123,0.41559,0.42665,0.41378,0.85272,0.98383,1,0.995,0.96718,0.98383,1,0.995,0.9341,0.35927,0.65824,0.42763,0.7065,0.00102098,0.00102098,0.00102098
51,64.5768,0.45439,0.32842,0.40921,0.87535,0.98646,1,0.995,0.93967,0.98646,1,0.995,0.94061,0.37685,0.65386,0.3463,0.74524,0.001001,0.001001,0.001001
52,65.6444,0.42602,0.30427,0.38978,0.87794,0.98863,1,0.995,0.9318,0.98863,1,0.995,0.95951,0.40663,0.45314,0.34711,0.78704,0.00098102,0.00098102,0.00098102
53,66.7102,0.45883,0.41262,0.39663,0.86773,0.98863,1,0.995,0.9318,0.98863,1,0.995,0.95951,0.40663,0.45314,0.34711,0.78704,0.00096104,0.00096104,0.00096104
54,67.7875,0.38456,0.30966,0.36209,0.84863,0.98631,1,0.995,0.93186,0.98631,1,0.995,0.995,0.38043,0.23545,0.33694,0.78097,0.00094106,0.00094106,0.00094106
55,68.8543,0.40506,0.31094,0.3563,0.85676,0.98951,1,0.995,0.96338,0.98951,1,0.995,0.995,0.35167,0.2189,0.2841,0.72471,0.00092108,0.00092108,0.00092108
